"Campisi"	"Casa"	"Nobili"	"Other"	"Sobrato"	"Swig"	"Villas"	"Walsh"
"2007-12"	0	0	0	1	0	1	0	0
"2008-01"	0	0	0	5	0	0	0	0
"2008-02"	0	0	1	7	0	0	0	1
"2008-03"	0	1	0	10	0	1	0	0
"2008-04"	0	0	0	3	0	1	0	0
"2008-05"	0	0	0	1	0	0	0	0
"2008-06"	0	0	0	3	0	0	0	0
"2008-07"	1	0	0	0	0	0	0	0
"2008-08"	0	0	0	4	0	0	0	0
"2008-10"	0	0	0	1	0	0	0	1
"2008-11"	0	0	0	2	0	0	0	0
"2009-01"	1	0	0	1	0	1	0	0
"2009-02"	0	0	0	3	0	2	0	0
"2009-03"	0	0	0	3	0	1	0	0
"2009-04"	0	0	0	2	0	0	0	0
"2009-05"	0	0	0	1	0	0	0	0
"2009-06"	0	1	0	1	1	0	0	0
"2009-07"	0	0	0	1	0	0	0	0
"2009-08"	0	0	0	2	0	0	0	0
"2009-09"	0	0	0	2	1	0	0	0
"2009-10"	0	0	0	1	0	0	0	0
"2009-11"	0	0	0	4	0	0	0	0
"2009-12"	0	0	0	1	0	0	0	0
"2010-01"	1	0	0	1	0	2	0	0
"2010-02"	0	0	0	3	1	1	0	0
"2010-03"	0	0	0	1	0	0	0	0
"2010-04"	0	0	0	2	0	0	0	0
"2010-05"	0	0	0	0	1	0	0	0
"2010-07"	0	0	0	1	0	0	0	0
"2010-09"	0	0	0	0	1	1	0	0
"2010-10"	0	1	1	6	1	0	0	0
"2010-11"	0	0	0	4	0	1	0	0
"2010-12"	0	0	0	0	0	2	0	1
"2011-01"	1	0	0	4	0	0	0	0
"2011-02"	1	0	1	2	1	0	0	0
"2011-03"	0	0	1	4	0	0	0	0
"2011-04"	0	0	0	4	0	0	0	0
"2011-05"	1	1	0	7	0	4	0	0
"2011-06"	0	0	0	1	0	0	0	0
"2011-07"	0	0	0	1	0	0	0	0
"2011-08"	0	0	0	4	0	0	0	0
"2011-09"	0	0	0	2	0	0	0	0
"2011-10"	0	1	0	9	2	0	4	0
"2011-11"	1	0	0	5	0	0	0	0
"2011-12"	0	0	0	4	0	1	0	3
"2012-01"	0	0	0	1	0	1	1	1
"2012-02"	0	0	1	1	4	1	0	0
"2012-03"	0	0	0	4	1	1	0	0
"2012-04"	0	0	0	1	0	1	0	0
"2012-05"	0	0	0	4	0	0	7	0
"2012-06"	0	0	0	1	1	0	0	0
